filename,date,title,lecturer,phdla
publikalas-folyamata,2015-09-01,A publikálás folyamata,Recski András,1022
publikaciok-irasa,2015-09-02,Publikációk írása,Recski András,1032
prezentacios-alapelvek,2015-09-03,Prezentációs alapelvek és gyakorlati technikák,"Tanács János, + …",1052
doktori-disszertacio,2015-09-04,Doktori disszertáció és tézisfüzet elkészítése,Molnár Sándor,1062
eloadastechnika,2015-09-05,Előadástechnika. Prezentáció nagy létszámú hallgatóságnak,Szalóki Tiborné,1072
prezi,2015-09-06,Prezi,Szalóki Tiborné,1082
hogyan-publikaljunk,2015-09-07,Hogyan publikáljunk? Legfontosabb szempontok egy publikáció megírása során,Kmety Andrea,1092
prezentacio-keszitese,2015-09-08,"Praktikus tippek  prezentáció készítéséhez (Power Point, Prezi)","Gujzer Zsuzsanna, Kalmár Csilla",1102
tudomanyos-gondolkodas,2015-09-09,"„Antrópikus tudatosság” a tudományos gondolkodásban, avagy milyen a jó kutató az akadémiai szférában és az iparban?",Szántay Csaba,2012
eu-mobilitas,2015-09-10,Európai uniós mobilitási programok doktorandusz hallgatók részére,Bíró Gábor István,2022
allaskereses,2015-09-11,Álláskeresés az egyetemen kívül. A karrierépítés első lépései,"Szabó Krisztina, + …",2032
palyazati-lehetosegek,2015-09-12,"Kutatói pályázati lehetőségek, képességek megalapozása",Bodzay Brigitta,2042
osztondij-lehetosegek,2015-09-13,Ösztöndíj lehetőségek doktorandusz hallgatók számára,Bodzay Brigitta,2052
kommunikacio-fejlesztes,2015-09-14,Kommunikáció fejlesztés,Halász Ágnes,2062
kiscsoportos-oktatas,2015-09-15,Kiscsoportos oktatás,Vidékiné Reményi Judit,3012
ellenorzes-ertekeles,2015-09-16,Az ellenőrzés-értékelés korszerű módszerei az oktatói munka során ,Molnár György,3032
matlab-alapismeretek,2015-09-17,MATLAB alapismeretek,Varga Gábor,4012
matlab-halado,2015-09-18,MATLAB haladó programozás,Varga Gábor,4022
word-libreoffice,2015-09-19,"Nagyméretű dokumentumok Wordben, illetve Libre Office Writerben",Tichy-Rács Ádám,4032
scifinder,2015-09-20,SciFinder adatbázis hatékony használata,Tichy-Rács Ádám,4042
reference-manager-szoftverek,2015-09-21,"Reference Manager szoftverek főbb lehetőségei, konkrét példák az EndNote és a Mendeley használatában",Kmety Andrea,4052
mendeley,2015-09-22,Tudományos források szervezése a Mendeley hivatkozáskezelő és tudományos közösségi háló segítségével,"Gujzer Zsuzsanna, Kalmár Csilla",4062
statisztikai-elemzes,2015-09-23,Statisztikai elemzés az ingyenes R szoftverben,Mády Katalin,4072
